2025-05-28 17:32:02,674 INFO    MainThread:602635 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_setup.py:_flush():70] Configure stats pid to 602635
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/.config/wandb/settings
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/NWM/DiffCast/wandb/settings
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/vatsal/NWM/DiffCast/wandb/run-20250528_173202-ixjew7dv/logs/debug.log
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/vatsal/NWM/DiffCast/wandb/run-20250528_173202-ixjew7dv/logs/debug-internal.log
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_init.py:init():852] calling init triggers
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_init.py:init():893] starting backend
2025-05-28 17:32:02,675 INFO    MainThread:602635 [wandb_init.py:init():897] sending inform_init request
2025-05-28 17:32:02,720 INFO    MainThread:602635 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-28 17:32:02,721 INFO    MainThread:602635 [wandb_init.py:init():907] backend started and connected
2025-05-28 17:32:02,724 INFO    MainThread:602635 [wandb_init.py:init():1005] updated telemetry
2025-05-28 17:32:02,756 INFO    MainThread:602635 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-28 17:32:03,497 INFO    MainThread:602635 [wandb_init.py:init():1104] starting run threads in backend
2025-05-28 17:32:03,658 INFO    MainThread:602635 [wandb_run.py:_console_start():2573] atexit reg
2025-05-28 17:32:03,658 INFO    MainThread:602635 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-28 17:32:03,658 INFO    MainThread:602635 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-28 17:32:03,659 INFO    MainThread:602635 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-28 17:32:03,660 INFO    MainThread:602635 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-28 17:32:03,661 INFO    MainThread:602635 [wandb_run.py:_config_callback():1436] config_cb None None {'backbone': 'fno', 'use_diff': True, 'seed': 0, 'exp_dir': 'basic_exps', 'exp_note': None, 'dataset': 'sevir', 'img_size': 384, 'img_channel': 1, 'seq_len': 15, 'frames_in': 10, 'frames_out': 5, 'num_workers': 2, 'lr': 0.0001, 'lr_beta1': 0.9, 'lr_beta2': 0.95, 'l2_norm': 0.0, 'ema_rate': 0.95, 'scheduler': 'cosine', 'warmup_steps': 1000, 'mixed_precision': 'no', 'grad_acc_step': 1, 'batch_size': 1, 'epochs': 1, 'training_steps': 20, 'early_stop': 10, 'ckpt_milestone': None, 'eval': False, 'wandb_state': 'online'}
2025-05-28 18:00:33,446 INFO    MainThread:602635 [wandb_run.py:_finish():2321] finishing run bagrishivasingh/Difffno_sevir_None/ixjew7dv
2025-05-28 18:00:33,446 INFO    MainThread:602635 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 0
2025-05-28 18:00:33,446 INFO    MainThread:602635 [wandb_run.py:_restore():2520] restore
2025-05-28 18:00:33,446 INFO    MainThread:602635 [wandb_run.py:_restore():2526] restore done
2025-05-28 18:00:36,035 INFO    MainThread:602635 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-05-28 18:00:36,036 INFO    MainThread:602635 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-05-28 18:00:36,036 INFO    MainThread:602635 [wandb_run.py:_footer_sync_info():4149] logging synced files
