2025-06-12 17:41:41,575 INFO    MainThread:679379 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_setup.py:_flush():70] Configure stats pid to 679379
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/.config/wandb/settings
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/NWM/weather/DiffCast/wandb/settings
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/vatsal/NWM/weather/DiffCast/wandb/run-20250612_174141-i6vbq5hs/logs/debug.log
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/vatsal/NWM/weather/DiffCast/wandb/run-20250612_174141-i6vbq5hs/logs/debug-internal.log
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_init.py:init():852] calling init triggers
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_init.py:init():893] starting backend
2025-06-12 17:41:41,576 INFO    MainThread:679379 [wandb_init.py:init():897] sending inform_init request
2025-06-12 17:41:41,615 INFO    MainThread:679379 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-12 17:41:41,615 INFO    MainThread:679379 [wandb_init.py:init():907] backend started and connected
2025-06-12 17:41:41,624 INFO    MainThread:679379 [wandb_init.py:init():1005] updated telemetry
2025-06-12 17:41:41,654 INFO    MainThread:679379 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-12 17:41:42,412 INFO    MainThread:679379 [wandb_init.py:init():1104] starting run threads in backend
2025-06-12 17:41:42,612 INFO    MainThread:679379 [wandb_run.py:_console_start():2573] atexit reg
2025-06-12 17:41:42,612 INFO    MainThread:679379 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-12 17:41:42,612 INFO    MainThread:679379 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-12 17:41:42,613 INFO    MainThread:679379 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-12 17:41:42,614 INFO    MainThread:679379 [wandb_init.py:init():1150] run started, returning control to user process
2025-06-12 17:41:42,615 INFO    MainThread:679379 [wandb_run.py:_config_callback():1436] config_cb None None {'backbone': 'phydnet', 'use_diff': False, 'seed': 0, 'exp_dir': 'basic_exps', 'exp_note': None, 'dataset': 'sevir', 'img_size': 128, 'img_channel': 1, 'seq_len': 25, 'frames_in': 5, 'frames_out': 20, 'num_workers': 4, 'lr': 0.0001, 'lr_beta1': 0.9, 'lr_beta2': 0.95, 'l2_norm': 0.0, 'ema_rate': 0.95, 'scheduler': 'cosine', 'warmup_steps': 1000, 'mixed_precision': 'no', 'grad_acc_step': 1, 'batch_size': 4, 'epochs': 10, 'training_steps': 20, 'early_stop': 10, 'ckpt_milestone': None, 'eval': False, 'wandb_state': 'online'}
2025-06-12 17:41:43,993 INFO    MsgRouterThr:679379 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
