2025-06-13 11:22:43,027 INFO    MainThread:3272 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_setup.py:_flush():70] Configure stats pid to 3272
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/.config/wandb/settings
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/NWM/weather/DiffCast/wandb/settings
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/vatsal/NWM/weather/DiffCast/wandb/run-20250613_112243-wl4odj0q/logs/debug.log
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/vatsal/NWM/weather/DiffCast/wandb/run-20250613_112243-wl4odj0q/logs/debug-internal.log
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_init.py:init():852] calling init triggers
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-13 11:22:43,028 INFO    MainThread:3272 [wandb_init.py:init():893] starting backend
2025-06-13 11:22:43,029 INFO    MainThread:3272 [wandb_init.py:init():897] sending inform_init request
2025-06-13 11:22:43,065 INFO    MainThread:3272 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-13 11:22:43,065 INFO    MainThread:3272 [wandb_init.py:init():907] backend started and connected
2025-06-13 11:22:43,069 INFO    MainThread:3272 [wandb_init.py:init():1005] updated telemetry
2025-06-13 11:22:43,100 INFO    MainThread:3272 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-13 11:22:43,833 INFO    MainThread:3272 [wandb_init.py:init():1104] starting run threads in backend
2025-06-13 11:22:44,085 INFO    MainThread:3272 [wandb_run.py:_console_start():2573] atexit reg
2025-06-13 11:22:44,086 INFO    MainThread:3272 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-13 11:22:44,086 INFO    MainThread:3272 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-13 11:22:44,086 INFO    MainThread:3272 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-13 11:22:44,089 INFO    MainThread:3272 [wandb_init.py:init():1150] run started, returning control to user process
2025-06-13 11:22:44,090 INFO    MainThread:3272 [wandb_run.py:_config_callback():1436] config_cb None None {'backbone': 'earthformer', 'use_diff': False, 'seed': 0, 'exp_dir': 'basic_exps', 'exp_note': None, 'dataset': 'sevir', 'img_size': 128, 'img_channel': 1, 'seq_len': 25, 'frames_in': 5, 'frames_out': 20, 'num_workers': 4, 'lr': 1e-05, 'lr_beta1': 0.9, 'lr_beta2': 0.95, 'l2_norm': 0.0, 'ema_rate': 0.95, 'scheduler': 'cosine', 'warmup_steps': 1000, 'mixed_precision': 'no', 'grad_acc_step': 1, 'batch_size': 6, 'epochs': 20, 'training_steps': 200000, 'early_stop': 10, 'ckpt_milestone': None, 'eval': False, 'wandb_state': 'online'}
