lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_frame_mse_step,valid_frame_mae_step
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
0.0,0.0,0,,,,
,,0,1.3707479238510132,0,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
2.173913043478261e-06,2.173913043478261e-06,1,,,,
,,1,1.4253904819488525,0,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
4.347826086956522e-06,4.347826086956522e-06,2,,,,
,,2,1.4877691268920898,0,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
6.521739130434783e-06,6.521739130434783e-06,3,,,,
,,3,1.731492280960083,0,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
8.695652173913044e-06,8.695652173913044e-06,4,,,,
,,4,1.2884750366210938,0,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
1.0869565217391305e-05,1.0869565217391305e-05,5,,,,
,,5,1.5283457040786743,0,,
1.3043478260869566e-05,1.3043478260869566e-05,6,,,,
1.3043478260869566e-05,1.3043478260869566e-05,6,,,,
1.3043478260869566e-05,1.3043478260869566e-05,6,,,,
1.3043478260869566e-05,1.3043478260869566e-05,6,,,,
1.3043478260869566e-05,1.3043478260869566e-05,6,,,,
1.3043478260869566e-05,1.3043478260869566e-05,6,,,,
1.3043478260869566e-05,1.3043478260869566e-05,6,,,,
