2025-06-11 10:55:22,907 INFO    MainThread:282496 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_setup.py:_flush():70] Configure stats pid to 282496
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/.config/wandb/settings
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/NWM/weather/pipeline/wandb/settings
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_init.py:setup_run_log_directory():724] Logging user logs to logs/DEarthformer2/wandb/run-20250611_105522-zomuqfsj/logs/debug.log
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to logs/DEarthformer2/wandb/run-20250611_105522-zomuqfsj/logs/debug-internal.log
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_init.py:init():852] calling init triggers
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_init.py:init():893] starting backend
2025-06-11 10:55:22,908 INFO    MainThread:282496 [wandb_init.py:init():897] sending inform_init request
2025-06-11 10:55:22,960 INFO    MainThread:282496 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-11 10:55:22,960 INFO    MainThread:282496 [wandb_init.py:init():907] backend started and connected
2025-06-11 10:55:22,965 INFO    MainThread:282496 [wandb_init.py:init():1005] updated telemetry
2025-06-11 10:55:23,007 INFO    MainThread:282496 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-11 10:55:24,138 INFO    MainThread:282496 [wandb_init.py:init():1104] starting run threads in backend
2025-06-11 10:55:24,342 INFO    MainThread:282496 [wandb_run.py:_console_start():2573] atexit reg
2025-06-11 10:55:24,343 INFO    MainThread:282496 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-11 10:55:24,344 INFO    MainThread:282496 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-11 10:55:24,344 INFO    MainThread:282496 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-11 10:55:24,348 INFO    MainThread:282496 [wandb_init.py:init():1150] run started, returning control to user process
2025-06-11 10:55:26,701 INFO    MsgRouterThr:282496 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
