2025-06-07 19:50:52,253 INFO    MainThread:486700 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_setup.py:_flush():70] Configure stats pid to 486700
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/.config/wandb/settings
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_setup.py:_flush():70] Loading settings from /home/vatsal/NWM/pipeline/wandb/settings
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_init.py:setup_run_log_directory():724] Logging user logs to logs/wandb/run-20250607_195052-m2sllxe7/logs/debug.log
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to logs/wandb/run-20250607_195052-m2sllxe7/logs/debug-internal.log
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_init.py:init():852] calling init triggers
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_init.py:init():893] starting backend
2025-06-07 19:50:52,254 INFO    MainThread:486700 [wandb_init.py:init():897] sending inform_init request
2025-06-07 19:50:52,293 INFO    MainThread:486700 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-07 19:50:52,293 INFO    MainThread:486700 [wandb_init.py:init():907] backend started and connected
2025-06-07 19:50:52,298 INFO    MainThread:486700 [wandb_init.py:init():1005] updated telemetry
2025-06-07 19:50:52,337 INFO    MainThread:486700 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-06-07 19:50:53,446 INFO    MainThread:486700 [wandb_init.py:init():1104] starting run threads in backend
2025-06-07 19:50:53,629 INFO    MainThread:486700 [wandb_run.py:_console_start():2573] atexit reg
2025-06-07 19:50:53,630 INFO    MainThread:486700 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-06-07 19:50:53,630 INFO    MainThread:486700 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-06-07 19:50:53,630 INFO    MainThread:486700 [wandb_run.py:_redirect():2513] Redirects installed.
2025-06-07 19:50:53,631 INFO    MainThread:486700 [wandb_init.py:init():1150] run started, returning control to user process
2025-06-07 19:51:46,878 INFO    MainThread:486700 [wandb_run.py:_config_callback():1436] config_cb None None {'model_name': 'DiT_VAE', 'csi_thresh': 0.5}
2025-06-07 19:51:51,657 INFO    MsgRouterThr:486700 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
